Comment,Designator,Footprint
10uF,C1,C_1206_3216Metric
1uF,"C2,C3",C_0402_1005Metric
100nF,"C4,C7,C8,C9",C_0402_1005Metric
22uF,C5,C_0805_2012Metric
4.7uF,C6,C_0603_1608Metric
10nF,C10,C_0402_1005Metric
Green_Status,D1,LED_0402_1005Metric
Blue_Radio,D2,LED_0402_1005Metric
Cortex_SWD_10P,J1,Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical
ESC_4IN1_JST_SH,J2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal
15uH,L1,L_0805_2012Metric
66.5K,R1,R_0402_1005Metric
22.1K,R2,R_0402_1005Metric
1k,"R3,R4",R_0402_1005Metric
10k,"R5,R6,R7,R8,R9",R_0402_1005Metric
SMAJ24A,TVS1,D_SMA
TLV75533PDBVR,U1,SOT-23-5
LMR50410_Buck,U2,SOT-23-6
MDBT53-P1M,U3,MDBT53-P1M
ICM-42688-P,U4,LGA-14_2.5x3.0mm_P0.5mm_ICM42688P
