"Refs","Value","Footprint","MPN","Qty","DNP"
"C1","10uF","Capacitor_SMD:C_1206_3216Metric","CL31B106KBHNNNE","1",""
"C2,C3","1uF","Capacitor_SMD:C_0402_1005Metric","GRM155R61C105KA12D","2",""
"C4,C7-C9","100nF","Capacitor_SMD:C_0402_1005Metric","GRM155R71H104KE14D","4",""
"C5","22uF","Capacitor_SMD:C_0805_2012Metric","GRM21BR61A226ME44","1",""
"C6","4.7uF","Capacitor_SMD:C_0603_1608Metric","GRM188R61A475KAAJD","1",""
"C10","10nF","Capacitor_SMD:C_0402_1005Metric","C0402C103K5RECAUTO","1",""
"D1","Green_Status","LED_SMD:LED_0402_1005Metric","LTST-C281KGKT","1",""
"D2","Blue_Radio","LED_SMD:LED_0402_1005Metric","LTST-C281TBKT","1",""
"J1","Cortex_SWD_10P","Connector:Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical","","1",""
"J2","ESC_4IN1_JST_SH","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal","SM08B-SRSS-TB","1",""
"L1","15uH","Inductor_SMD:L_0805_2012Metric","MLZ2012M150WT000","1",""
"R1","66.5K","Resistor_SMD:R_0402_1005Metric","RC0402FR-0766K5L","1",""
"R2","22.1K","Resistor_SMD:R_0402_1005Metric","RC0402FR-0722K1L","1",""
"R3,R4","1k","Resistor_SMD:R_0402_1005Metric","RC0402FR-071KL","2",""
"R5-R9","10k","Resistor_SMD:R_0402_1005Metric","RC0402FR-0710KL","5",""
"TVS1","SMAJ24A","Diode_SMD:D_SMA","SMAJ24A","1",""
"U1","TLV75533PDBVR","Package_TO_SOT_SMD:SOT-23-5","TLV75533PDBVR","1",""
"U2","LMR50410_Buck","Package_TO_SOT_SMD:SOT-23-6","LMR50410XDBVR","1",""
"U3","MDBT53-P1M","drone_fc_v2_footprints:MDBT53-P1M","MDBT53-P1M","1",""
"U4","ICM-42688-P","drone_fc_v2_footprints:LGA-14_2.5x3.0mm_P0.5mm_ICM42688P","ICM-42688-P","1",""
