Designator,Mid X,Mid Y,Layer,Rotation
C1,92.000000,-96.185000,Top,270.000000
C2,108.090000,-93.097556,Top,180.000000
C3,108.090000,-100.097556,Top,180.000000
C4,99.360000,-97.150000,Top,180.000000
C5,104.480000,-95.360000,Top,270.000000
C6,95.355000,-110.000000,Top,180.000000
C7,95.760000,-107.640000,Top,180.000000
C8,95.760000,-108.690000,Top,180.000000
C9,96.540000,-104.630000,Top,180.000000
C10,96.540000,-106.130000,Top,180.000000
D1,92.715000,-119.390000,Top,180.000000
D2,92.715000,-116.880000,Top,180.000000
J1,110.063865,-118.740000,Top,270.000000
J2,100.030000,-88.300000,Top,180.000000
L1,100.962500,-95.460000,Top,0.000000
R1,101.480000,-93.670000,Top,180.000000
R2,98.610000,-92.450000,Top,180.000000
R3,90.380000,-119.390000,Top,180.000000
R4,90.380000,-116.880000,Top,180.000000
R5,104.860000,-109.320000,Top,90.000000
R6,103.030000,-109.320000,Top,90.000000
R7,101.200000,-109.320000,Top,90.000000
R8,99.740000,-107.800000,Top,0.000000
R9,99.370000,-109.320000,Top,90.000000
TVS1,87.310000,-96.640000,Top,270.000000
U1,107.620000,-96.235056,Top,270.000000
U2,95.862500,-95.850000,Top,180.000000
U3,100.000000,-118.600000,Top,180.000000
U4,100.000000,-105.375000,Top,270.000000
