Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",92.000000,-96.185000,-90.000000,top
"C2","1uF","C_0402_1005Metric",108.090000,-93.097556,180.000000,top
"C3","1uF","C_0402_1005Metric",108.090000,-100.097556,180.000000,top
"C4","100nF","C_0402_1005Metric",99.360000,-97.150000,180.000000,top
"C5","22uF","C_0805_2012Metric",104.480000,-95.360000,-90.000000,top
"C6","4.7uF","C_0603_1608Metric",95.355000,-110.000000,180.000000,top
"C7","100nF","C_0402_1005Metric",95.760000,-107.640000,180.000000,top
"C8","100nF","C_0402_1005Metric",95.760000,-108.690000,180.000000,top
"C9","100nF","C_0402_1005Metric",96.540000,-104.630000,180.000000,top
"C10","10nF","C_0402_1005Metric",96.540000,-106.130000,180.000000,top
"D1","Green_Status","LED_0402_1005Metric",92.715000,-119.390000,180.000000,top
"D2","Blue_Radio","LED_0402_1005Metric",92.715000,-116.880000,180.000000,top
"J1","Cortex_SWD_10P","Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical",110.063865,-118.740000,-90.000000,top
"J2","ESC_4IN1_JST_SH","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",100.030000,-88.300000,180.000000,top
"L1","15uH","L_0805_2012Metric",100.962500,-95.460000,0.000000,top
"R1","66.5K","R_0402_1005Metric",101.480000,-93.670000,180.000000,top
"R2","22.1K","R_0402_1005Metric",98.610000,-92.450000,180.000000,top
"R3","1k","R_0402_1005Metric",90.380000,-119.390000,180.000000,top
"R4","1k","R_0402_1005Metric",90.380000,-116.880000,180.000000,top
"R5","10k","R_0402_1005Metric",104.860000,-109.320000,90.000000,top
"R6","10k","R_0402_1005Metric",103.030000,-109.320000,90.000000,top
"R7","10k","R_0402_1005Metric",101.200000,-109.320000,90.000000,top
"R8","10k","R_0402_1005Metric",99.740000,-107.800000,0.000000,top
"R9","10k","R_0402_1005Metric",99.370000,-109.320000,90.000000,top
"TVS1","SMAJ24A","D_SMA",87.310000,-96.640000,-90.000000,top
"U1","TLV75533PDBVR","SOT-23-5",107.620000,-96.235056,-90.000000,top
"U2","LMR50410_Buck","SOT-23-6",95.862500,-95.850000,180.000000,top
"U3","MDBT53-P1M","MDBT53-P1M",100.000000,-118.600000,180.000000,top
"U4","ICM-42688-P","LGA-14_2.5x3.0mm_P0.5mm_ICM42688P",100.000000,-105.375000,-90.000000,top
